datetime,open,high,low,close
2022-05-23T10:45:00+05:30,16331.2,16357.3,16322.25,16337.7
2022-05-23T10:15:00+05:30,16334,16336.95,16303.6,16331.05
2022-05-23T09:45:00+05:30,16272.9,16340.85,16272.75,16334.2
2022-05-23T09:15:00+05:30,16290.95,16347.6,16207.75,16273.05
2022-05-20T15:15:00+05:30,16279.7,16282.4,16252.75,16278.7
2022-05-20T14:45:00+05:30,16223.5,16279.65,16214.5,16279.45
2022-05-20T14:15:00+05:30,16218.4,16237.5,16183.7,16223.45
2022-05-20T13:45:00+05:30,16195.65,16218,16183.65,16218
2022-05-20T13:15:00+05:30,16207.45,16224.55,16188.2,16195
2022-05-20T12:45:00+05:30,16175.4,16216,16155.35,16206.9
2022-05-20T12:15:00+05:30,16149.4,16175.85,16116.1,16175.5
2022-05-20T11:45:00+05:30,16190.2,16210.05,16136.2,16149.8
2022-05-20T11:15:00+05:30,16179.9,16195.7,16169.4,16190.05
2022-05-20T10:45:00+05:30,16170.3,16194.7,16152.05,16179.75
2022-05-20T10:15:00+05:30,16160.45,16178.75,16146.5,16170.55
2022-05-20T09:45:00+05:30,16116.45,16177.95,16116.45,16160.05
2022-05-20T09:15:00+05:30,16043.8,16139.2,16004.85,16116.05
2022-05-19T15:15:00+05:30,15784.4,15839.6,15782.6,15828.45
2022-05-19T14:45:00+05:30,15787.4,15827.5,15776.35,15783.9
2022-05-19T14:15:00+05:30,15815.4,15835.4,15786.5,15786.5
2022-05-19T13:45:00+05:30,15852.45,15859.95,15815.85,15815.85
2022-05-19T13:15:00+05:30,15823.55,15864.35,15819.95,15849.15
2022-05-19T12:45:00+05:30,15845.7,15853.65,15811.65,15824.6
2022-05-19T12:15:00+05:30,15860.6,15887.8,15844.7,15845.8
2022-05-19T11:45:00+05:30,15887.35,15890.65,15860.5,15861.1
2022-05-19T11:15:00+05:30,15927.45,15927.75,15868.8,15886.85
2022-05-19T10:45:00+05:30,15934.3,15954.8,15914.3,15927.55
2022-05-19T10:15:00+05:30,15951.65,15959.7,15930.55,15934.65
2022-05-19T09:45:00+05:30,15919.7,15966.8,15905.3,15952.25
2022-05-19T09:15:00+05:30,15917.4,15983.45,15906.05,15919.4
2022-05-18T15:15:00+05:30,16235.3,16256.45,16233.55,16256.45
2022-05-18T14:45:00+05:30,16270.75,16295.15,16226.85,16236.25
2022-05-18T14:15:00+05:30,16263.75,16284.25,16237.2,16270.3
2022-05-18T13:45:00+05:30,16346.45,16349.6,16251.8,16262.9
2022-05-18T13:15:00+05:30,16260.4,16354.7,16227.4,16346.8
2022-05-18T12:45:00+05:30,16233.5,16271.85,16211.8,16257.2
2022-05-18T12:15:00+05:30,16331.95,16331.95,16219.9,16234.05
2022-05-18T11:45:00+05:30,16350.75,16362.35,16326.05,16333.05
2022-05-18T11:15:00+05:30,16333.2,16365.35,16324.4,16350.7
2022-05-18T10:45:00+05:30,16369.25,16370.6,16308.5,16332.7
2022-05-18T10:15:00+05:30,16339.8,16373.05,16302.45,16367.9
2022-05-18T09:45:00+05:30,16383.4,16399.55,16307.6,16340.15
2022-05-18T09:15:00+05:30,16318.15,16392.15,16282.25,16385.55
2022-05-17T15:15:00+05:30,16248.1,16282.6,16244.95,16282.6
2022-05-17T14:45:00+05:30,16234.15,16267.15,16226.05,16248.2
2022-05-17T14:15:00+05:30,16217,16243.75,16191.4,16234.5
2022-05-17T13:45:00+05:30,16161.6,16218.3,16145.55,16216.6
2022-05-17T13:15:00+05:30,16172.5,16182.2,16124.3,16161.85
2022-05-17T12:45:00+05:30,16138.8,16172.35,16132.3,16172.35
2022-05-17T12:15:00+05:30,16104.35,16147,16102.9,16138.3
2022-05-17T11:45:00+05:30,16143.4,16146.9,16103.9,16104.8
2022-05-17T11:15:00+05:30,16076.05,16152.35,16071.3,16143.6
2022-05-17T10:45:00+05:30,16071.4,16112,16068.45,16077.8
2022-05-17T10:15:00+05:30,15987.45,16072.7,15986.65,16071.7
2022-05-17T09:45:00+05:30,15964.75,15989.5,15922.55,15986.25
2022-05-17T09:15:00+05:30,15912.6,15977.15,15908.4,15964.7
